age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
40,4,222591,11,9,0,13,1,4,1,0,0,45,39,0
49,4,41801,1,7,2,7,0,4,1,0,0,40,39,1
41,4,167600,15,10,2,7,0,4,1,0,0,36,39,1
53,4,86205,11,9,0,3,1,4,1,0,0,23,39,1
39,4,73153,11,9,2,12,0,4,1,0,0,40,39,0
26,4,248612,9,13,4,10,3,4,1,0,0,32,39,1
45,4,158613,15,10,2,6,0,4,1,0,0,44,39,1
37,4,272946,11,9,0,3,1,4,1,0,0,40,39,1
46,4,27468,11,9,2,4,0,4,1,0,0,46,39,0
40,4,217281,11,9,2,12,0,4,1,0,0,25,39,1
37,2,354232,15,10,2,3,0,4,1,0,0,37,39,1
47,5,248147,4,3,2,14,0,4,1,0,0,50,6,1
34,4,99226,11,9,2,1,0,4,1,0,0,39,39,1
45,4,102147,11,9,2,3,0,4,1,0,0,40,39,1
38,4,160806,11,9,2,3,0,2,1,4389,0,48,39,1
52,4,249341,11,9,2,3,0,4,1,0,0,40,39,1
37,4,242032,9,13,2,4,0,4,1,0,0,45,39,0
30,5,443546,8,11,2,12,0,4,1,0,0,35,39,1
24,4,137588,11,9,4,1,3,4,0,0,0,30,39,1
25,4,160279,15,10,4,4,3,1,1,0,0,37,9,1
46,0,163750,12,14,0,0,4,4,0,0,0,35,2,1
40,4,29793,11,9,2,3,0,4,1,0,0,45,39,1
40,4,153378,15,10,2,12,0,4,1,0,0,49,39,0
25,4,41766,15,10,4,10,1,4,1,0,0,36,39,1
23,4,27073,15,10,4,1,4,3,0,0,0,40,39,1
33,4,89022,11,9,2,6,0,4,1,0,0,40,39,0
28,4,499203,15,10,2,10,0,4,1,0,0,40,39,1
26,4,167350,11,9,4,14,3,4,1,0,0,49,39,1
42,4,150090,15,10,2,12,0,2,1,0,0,48,39,0
32,4,165289,4,3,4,8,1,4,0,0,0,40,27,1
32,4,250658,11,9,2,3,0,4,1,0,0,41,39,1
35,2,276248,12,14,4,10,3,4,0,0,0,40,39,1
46,6,126085,11,9,2,4,0,4,1,0,0,37,39,1
51,4,202424,9,13,0,1,1,4,0,0,0,40,39,1
34,4,213232,11,9,0,12,1,4,1,0,0,48,39,1
42,4,98441,9,13,0,4,1,4,1,0,0,44,39,1
60,2,147454,15,10,0,4,1,4,0,0,0,43,39,1
47,4,44635,11,9,2,1,0,4,1,0,0,39,39,1
30,4,556972,11,9,4,1,1,4,0,0,0,39,39,1
39,4,181187,7,12,0,3,1,4,1,0,0,43,26,1
31,4,33124,14,15,4,10,1,4,0,0,0,86,39,1
32,4,337703,11,9,4,7,3,4,1,0,0,41,39,1
71,0,75880,15,10,6,0,4,1,0,0,0,6,39,1
57,6,204394,9,13,2,4,0,4,1,0,2000,12,39,0
42,4,171615,11,9,2,4,0,4,1,0,0,55,39,0
50,4,69508,11,9,2,14,0,4,1,0,0,31,39,1
19,0,182611,11,9,4,0,3,2,0,0,0,30,39,1
68,2,179816,0,6,2,14,0,4,1,0,0,11,39,1
62,4,190507,10,16,2,10,0,4,1,15024,0,45,39,0
23,4,281745,15,10,4,5,2,4,1,0,0,28,39,1
65,4,125801,9,13,2,4,0,4,1,0,0,39,39,1
27,4,212098,15,10,0,11,1,4,1,0,0,30,39,1
61,0,195789,11,9,2,0,0,4,1,0,0,36,39,1
51,7,256305,9,13,0,4,4,2,1,0,0,45,39,1
44,4,88278,11,9,4,7,3,4,0,0,0,41,39,1
24,4,215412,1,7,4,8,1,4,1,0,0,54,39,1
48,5,49287,10,16,2,10,0,4,1,0,2000,50,39,0
43,2,69764,7,12,0,11,1,1,1,0,0,48,39,0
39,4,155061,15,10,2,4,0,4,1,14654,0,52,39,0
41,4,347840,11,9,0,1,1,4,0,0,0,38,39,1
25,4,41081,15,10,4,12,1,4,1,0,0,42,39,1
29,7,208802,10,16,4,10,1,4,0,0,0,80,19,1
38,4,356835,11,9,4,5,3,4,1,0,0,17,39,1
32,4,141311,11,9,4,7,4,2,0,0,0,40,39,1
46,4,265097,11,9,4,6,2,4,1,0,0,5,39,1
28,0,22988,9,13,4,0,3,4,1,0,0,50,39,1
31,4,330715,11,9,5,8,1,4,1,0,0,41,39,1
22,4,184813,15,10,4,1,3,4,1,0,0,38,39,1
48,2,193009,12,14,0,11,1,2,1,0,0,49,39,0
36,4,326338,1,7,2,8,0,2,1,2357,0,38,39,1
38,0,187396,11,9,4,0,1,4,1,0,0,18,39,1
37,4,163196,15,10,0,13,1,0,0,0,0,40,39,1
22,0,238001,15,10,4,0,3,4,1,0,0,20,39,1
43,2,56651,9,13,2,4,0,4,1,0,0,49,39,1
51,7,286998,11,9,2,11,0,4,1,0,0,40,39,1
23,4,293088,11,9,4,12,3,4,1,0,0,30,39,1
34,4,234793,11,9,0,1,4,4,0,0,0,38,39,1
34,4,77618,15,10,0,12,4,1,0,0,0,40,39,1
50,4,70868,11,9,2,4,0,4,1,0,0,40,39,1
22,4,29810,11,9,4,8,1,4,0,0,0,49,38,1
30,4,247886,9,13,2,10,0,4,1,0,0,40,39,0
50,4,178982,11,9,4,1,4,4,0,0,0,32,39,1
23,4,54633,11,9,4,5,3,4,1,0,0,44,39,1
34,2,161114,15,10,2,14,0,4,1,0,0,40,39,1
26,4,277448,9,13,2,12,0,4,1,0,0,49,39,1
42,4,190771,8,11,0,13,4,4,0,0,0,40,39,1
35,4,200401,15,10,4,8,1,4,0,0,0,21,39,1
35,7,197577,9,13,0,4,1,4,1,0,0,40,39,1
23,4,126736,9,13,4,1,3,4,0,0,0,38,39,1
24,4,148760,15,10,4,10,4,4,0,0,0,29,39,1
30,2,194746,9,13,2,11,0,4,1,0,0,40,39,1
37,2,189611,15,10,2,1,5,4,0,0,0,40,39,1
41,4,231814,1,7,2,14,0,4,1,0,0,41,38,1
36,4,75969,11,9,2,4,0,4,1,4511,0,57,39,0
43,2,98124,9,13,0,10,3,4,0,0,0,39,39,1
45,7,72597,15,10,0,1,4,4,0,0,0,55,39,1
30,4,384291,15,10,4,3,1,4,1,0,0,44,39,1
29,4,579339,11,9,4,13,1,4,0,0,0,40,39,1
23,4,250930,15,10,4,7,2,4,1,0,0,35,39,1
19,0,140390,15,10,4,0,2,4,0,0,0,29,39,1
46,4,232834,15,10,6,1,4,4,0,0,0,42,39,1
71,6,104059,9,13,2,4,0,4,1,0,0,45,36,1
51,2,231223,11,9,2,1,0,4,1,0,0,40,39,1
59,4,94412,9,13,2,12,0,4,1,0,0,46,39,0
29,4,182731,9,13,4,4,1,4,0,0,0,42,39,1
37,4,267422,11,9,2,6,0,4,1,0,0,34,39,1
47,4,216298,11,9,2,5,0,4,1,0,0,41,39,1
29,4,96006,9,13,4,10,1,4,1,0,0,48,39,1
43,4,218437,11,9,3,12,4,4,0,0,0,19,9,1
34,6,182714,9,13,4,10,1,4,0,0,0,59,39,0
21,4,155791,11,9,4,3,3,4,1,0,0,34,39,1
26,4,154648,11,9,4,6,3,4,1,0,0,44,39,1
27,4,265158,11,9,4,6,2,4,1,0,0,40,27,1
65,4,72769,15,10,2,6,0,4,1,10733,0,17,39,1
35,4,170008,11,9,2,3,0,4,1,0,0,53,39,1
28,7,117436,9,13,2,4,5,4,0,0,0,39,39,1
46,5,54255,15,10,2,12,0,4,1,0,0,44,39,1
33,4,74875,9,13,4,13,1,1,0,0,0,42,31,1
52,4,198539,12,14,6,1,4,4,0,0,0,38,39,1
49,6,43479,15,10,2,3,0,4,1,1507,0,40,39,1
40,4,347817,7,12,4,8,3,4,0,0,0,54,39,1
30,4,110584,11,9,0,1,3,4,0,1136,0,40,39,1
43,1,207177,7,12,0,1,4,1,1,0,2000,42,31,1
38,4,195414,9,13,4,10,1,2,0,0,0,36,39,0
32,4,202178,15,10,2,3,0,4,1,0,0,53,39,1
61,4,128103,11,9,6,1,1,4,0,0,0,31,39,1
32,6,134733,9,13,2,7,0,4,1,0,0,69,39,0
51,1,252633,11,9,2,14,0,1,1,0,0,38,29,1
28,4,224112,11,9,2,7,0,4,1,0,0,40,39,1
31,4,299621,15,10,2,4,0,4,1,0,0,50,14,1
28,0,48966,11,9,4,0,1,4,0,0,0,41,39,1
35,4,225796,11,9,4,7,1,4,0,0,0,40,35,1
40,5,121100,14,15,4,3,1,4,1,0,0,57,39,0
21,6,434182,1,7,4,10,1,4,0,0,0,9,39,1
34,4,148094,11,9,4,6,4,2,0,0,0,40,15,1
26,4,165673,11,9,2,12,0,4,1,0,0,40,39,1
52,2,82783,11,9,0,4,1,4,1,0,0,40,39,1
29,4,117588,12,14,4,10,1,2,0,0,0,24,39,1
39,4,61182,9,13,0,1,4,4,1,0,0,40,39,1
50,4,273535,5,4,2,12,0,3,1,0,0,41,20,1
40,4,152061,11,9,0,7,4,4,0,0,0,40,39,1
20,4,203261,2,8,4,8,3,4,1,0,0,35,39,1
33,4,295591,13,1,4,5,1,4,1,0,0,40,26,1
33,4,254285,11,9,2,11,3,4,1,0,0,40,39,1
24,4,273049,9,13,4,4,1,4,1,0,0,42,39,1
41,4,24350,9,13,2,10,0,4,1,0,0,58,39,0
56,4,94602,11,9,5,1,4,4,0,0,0,40,39,1
27,4,172907,11,9,2,7,0,4,1,0,0,35,39,1
36,4,65706,11,9,0,8,4,4,0,0,0,40,39,1
35,4,393401,11,9,4,8,4,4,0,0,0,40,39,1
41,4,34123,11,9,2,3,0,4,1,0,0,60,39,1
36,4,162193,1,7,6,3,4,4,1,0,0,40,39,1
55,4,129762,11,9,0,8,2,4,0,0,0,40,36,1
22,4,202122,11,9,2,12,0,4,1,0,0,49,39,1
64,4,222910,8,11,0,10,4,4,0,0,0,40,39,1
45,4,269620,15,10,2,7,0,4,1,0,0,40,4,1
40,4,50704,11,9,2,10,0,4,1,0,0,40,39,1
29,4,194897,11,9,4,12,2,4,1,0,0,40,39,1
51,4,357816,2,8,4,7,1,2,0,0,0,46,39,1
33,4,141445,1,7,2,12,2,4,0,0,0,46,39,1
45,4,164960,11,9,2,7,0,4,1,0,0,40,39,1
47,5,240435,15,10,2,4,0,4,1,0,0,46,39,0
40,5,149151,8,11,4,3,3,4,1,0,0,40,39,1
38,4,196419,15,10,2,3,0,4,1,0,0,49,39,0
69,4,145656,15,10,6,1,1,4,0,0,0,25,39,1
37,4,261365,9,13,2,12,0,4,1,836,0,48,38,1
54,6,205229,11,9,4,4,1,2,1,0,2000,47,39,0
43,4,285869,6,5,2,3,0,4,1,0,0,40,39,1
22,0,137301,11,9,4,0,2,4,0,0,0,36,33,1
33,4,156464,11,9,0,3,1,4,1,0,0,40,39,1
42,6,92500,15,10,0,10,1,4,0,0,0,36,39,1
25,4,228207,11,9,4,6,3,4,1,0,0,20,39,1
22,4,113131,7,12,4,12,3,4,0,0,0,27,39,1
66,4,271567,11,9,5,7,1,2,1,0,0,39,37,1
47,6,34728,11,9,2,12,0,4,1,0,0,57,39,1
33,4,97692,11,9,4,12,3,4,1,0,0,40,39,1
42,6,55378,11,9,2,14,0,4,1,6533,0,48,39,0
32,4,134260,8,11,4,12,3,4,0,0,0,37,39,1
19,4,134254,15,10,4,12,3,4,1,0,0,16,39,1
42,4,165814,9,13,2,4,0,4,1,0,0,50,39,0
43,6,325159,15,10,0,5,4,4,1,0,0,44,39,1
37,4,132839,11,9,4,8,4,2,0,0,0,40,39,1
38,7,111528,11,9,2,3,0,4,1,0,0,45,39,0
62,4,170485,11,9,6,8,1,4,0,0,0,42,39,1
51,5,125430,5,4,2,7,0,4,1,0,0,47,39,0
38,4,54193,15,10,4,12,1,4,1,0,0,37,39,1
21,4,327125,1,7,4,14,3,4,1,0,0,28,39,1
56,4,95713,15,10,4,1,1,4,0,0,0,30,39,1
60,0,203855,11,9,2,0,0,4,1,0,0,40,39,1
39,4,164318,11,9,4,12,1,4,0,0,0,28,39,1
53,4,186302,11,9,2,3,0,4,1,0,0,40,39,0
38,4,158628,15,10,2,10,0,4,1,0,0,47,39,1
46,6,187160,11,9,0,14,4,4,1,0,0,57,39,1
22,4,199915,15,10,4,8,3,4,0,0,0,38,39,1
27,4,176967,11,9,4,1,3,4,0,0,0,40,36,1
31,4,292118,11,9,0,13,1,4,0,0,0,43,39,1
39,4,50916,9,13,0,4,1,4,1,3228,0,39,39,1
55,0,146144,9,13,2,0,0,4,1,1051,0,47,39,1
19,0,194607,15,10,4,0,3,4,0,0,0,10,39,1
18,0,312634,1,7,4,0,3,4,1,0,0,25,39,1
32,4,243479,11,9,0,8,2,4,0,0,0,46,19,1
37,4,161141,11,9,4,6,1,4,1,0,0,40,39,1
59,4,111071,11,9,2,14,0,4,1,0,0,19,39,1
24,4,39349,11,9,2,3,0,4,1,0,0,40,39,1
42,4,340184,15,10,4,10,1,4,0,0,0,44,39,1
50,4,34433,15,10,2,14,0,4,1,0,0,41,39,1
60,4,128841,11,9,2,7,0,4,1,3277,0,40,39,1
62,4,217430,11,9,2,11,0,4,1,0,0,28,39,1
21,0,252767,11,9,4,0,3,2,1,0,0,36,39,1
45,6,39511,9,13,2,12,0,4,1,0,0,58,39,1
50,6,203008,11,9,0,4,1,4,0,99999,0,61,39,0
27,4,193338,11,9,4,14,1,4,1,0,0,45,30,1
37,4,272950,15,10,4,12,1,4,1,0,0,50,39,1
38,4,250141,9,13,4,10,1,4,0,0,0,61,39,1
44,4,99016,9,13,2,8,5,4,0,0,0,35,39,1
52,4,28557,11,9,2,12,0,4,1,3371,0,40,39,1
24,4,152187,11,9,4,3,3,4,1,0,0,41,39,1
45,4,308271,11,9,2,14,5,4,0,0,0,38,39,1
21,4,163615,15,10,4,8,3,4,1,0,0,34,39,1
47,4,221924,14,15,4,10,2,4,0,0,0,59,36,1
40,4,180016,11,9,0,12,3,4,0,0,0,36,39,1
40,4,125500,12,14,0,10,4,4,0,0,0,45,39,1
37,1,408773,11,9,2,3,5,4,0,0,0,40,39,0
20,0,169129,7,12,4,0,3,1,1,0,0,25,34,1
51,4,515491,5,4,2,3,0,4,1,0,0,40,39,1
44,4,30756,5,4,2,4,0,4,1,0,0,60,39,1
45,4,202597,9,13,2,8,2,1,1,0,0,37,27,1
28,4,177635,15,10,4,4,1,4,1,0,0,44,39,1
59,7,118786,11,9,2,11,0,4,1,0,0,35,39,1
24,4,199925,11,9,2,1,5,4,0,0,0,42,39,1
45,4,172219,12,14,2,1,0,4,1,0,2000,43,39,0
32,4,110420,1,7,2,12,0,4,1,0,0,39,39,1
40,4,25852,10,16,0,10,1,1,1,0,0,31,10,0
18,4,237425,1,7,4,12,3,4,1,0,0,25,39,1
36,4,88473,11,9,2,3,0,4,1,0,0,36,39,1
38,6,277760,12,14,4,5,3,4,1,0,0,84,39,1
39,4,154178,11,9,2,8,5,4,0,0,2000,40,32,0
23,4,293764,15,10,4,3,1,4,1,0,0,43,39,1
26,4,192260,9,13,4,12,3,4,1,0,0,44,39,1
36,4,89718,11,9,2,12,0,4,1,0,0,40,39,1
27,4,164262,1,7,5,10,3,4,1,0,0,33,39,1
41,7,39232,12,14,4,10,1,4,1,0,0,64,39,1
33,4,287189,15,10,0,1,4,4,1,0,0,37,34,1
51,6,381770,11,9,2,5,0,4,1,0,0,50,39,1
42,2,329755,1,7,2,14,0,4,1,0,0,34,39,1
36,2,330154,11,9,2,3,0,4,1,0,0,33,39,1
18,4,151147,0,6,4,5,3,4,1,0,0,25,39,1
43,4,128083,11,9,2,12,0,4,1,0,0,43,39,1
35,1,161503,15,10,2,8,0,2,1,0,0,40,39,1
52,4,178049,9,13,2,1,0,4,1,7420,0,43,39,0
25,4,104746,15,10,2,6,0,4,1,0,0,16,39,1
48,2,194340,11,9,2,8,5,4,0,863,0,13,39,0
62,6,120938,15,10,0,12,1,4,1,0,0,40,39,1
54,6,160684,9,13,2,12,0,1,1,0,1000,49,19,0
44,4,346126,11,9,0,10,1,4,1,0,0,40,39,0
37,4,100507,11,9,2,3,0,4,1,0,0,41,39,0
32,7,204048,9,13,2,10,0,4,1,0,0,45,39,0
26,4,175400,15,10,2,8,0,4,1,0,0,27,39,1
32,4,178838,11,9,4,1,1,4,1,0,0,40,39,1
34,4,467108,15,10,4,10,1,4,1,0,0,49,39,0
20,0,37932,11,9,4,0,1,4,1,0,0,40,39,1
35,5,201778,11,9,2,12,0,2,1,99999,0,47,39,0
19,4,214937,15,10,4,6,3,4,1,0,0,40,39,1
25,4,189988,9,13,4,10,1,4,1,0,0,49,39,1
37,4,189104,9,13,2,4,0,4,1,0,0,40,39,0
23,4,200318,7,12,4,1,1,4,0,0,0,18,39,1
49,4,52184,11,9,2,7,0,4,1,0,0,40,39,1
29,4,97165,15,10,4,1,4,4,0,0,0,40,39,1
62,4,85430,11,9,2,14,0,4,1,0,0,32,39,1
69,6,343619,11,9,2,5,0,1,1,0,0,14,36,1
45,4,42226,15,10,2,12,0,4,1,0,0,50,39,0
28,4,212434,11,9,4,7,2,4,1,0,0,40,39,1
47,4,167186,11,9,4,1,1,4,1,0,0,40,39,1
52,4,192943,11,9,2,13,0,4,1,0,2000,41,39,0
45,6,220814,15,10,2,4,0,4,1,0,0,51,39,0
49,4,122493,11,9,6,13,4,4,1,0,0,40,39,1
27,4,581127,15,10,4,6,3,2,1,0,0,40,39,1
51,4,143822,11,9,2,3,0,4,1,0,0,44,39,1
46,4,216956,12,14,2,4,0,4,1,0,0,40,39,0
35,4,247928,11,9,4,3,1,4,1,0,0,40,39,1
30,2,229227,15,10,4,11,3,4,0,0,0,41,39,0
34,4,70465,15,10,2,12,0,1,1,0,0,48,39,1
36,4,99146,11,9,2,4,0,4,1,0,0,55,39,0
56,4,204816,15,10,2,4,0,4,1,0,0,44,39,0
37,4,238722,11,9,2,7,0,4,1,0,0,53,39,1
52,4,129794,9,13,2,12,0,4,1,3006,0,40,39,1
36,4,465326,11,9,2,5,0,4,1,0,0,40,39,1
22,4,182615,15,10,4,1,3,4,1,0,0,40,39,1
42,5,132978,12,14,2,13,0,4,1,0,2000,40,30,0
20,4,148711,15,10,4,10,4,4,0,0,0,25,39,1
37,4,374524,9,13,2,10,0,4,1,0,0,57,39,0
45,4,351324,15,10,2,14,0,2,1,0,0,55,39,1
33,4,99920,15,10,2,3,0,4,1,0,0,50,39,1
48,4,146290,11,9,2,14,0,4,1,0,0,49,39,1
28,4,295271,15,10,4,8,3,2,0,0,0,32,39,1
30,4,352429,15,10,4,12,4,4,1,0,0,58,27,1
25,4,113515,11,9,4,3,4,4,1,0,0,41,39,1
37,2,190837,9,13,0,10,1,4,1,0,0,30,20,1
33,4,162249,9,13,2,12,0,4,1,2248,0,52,39,0
36,7,261780,15,10,2,6,0,4,1,0,0,28,39,1
30,2,264936,9,13,5,10,4,4,0,0,0,40,39,1
62,4,271087,9,13,0,10,1,4,0,0,0,22,39,1
30,4,377393,15,10,0,1,4,2,0,0,0,40,31,1
30,4,210868,1,7,0,12,3,4,1,0,0,40,39,1
17,4,159908,1,7,4,11,3,4,0,0,0,27,39,1
18,4,27626,11,9,4,4,1,4,0,0,0,30,39,1
59,4,225883,15,10,6,12,4,4,0,0,0,27,39,1
32,4,307692,11,9,2,14,0,4,1,0,0,40,39,1
19,4,391316,15,10,4,1,1,4,0,0,0,32,39,1
33,4,214891,11,9,0,1,1,4,0,0,0,43,39,1
38,0,301340,15,10,4,0,3,4,0,0,2000,27,39,1
57,4,121112,11,9,2,12,5,4,0,0,0,40,13,1
36,4,23892,11,9,2,4,5,4,0,0,0,40,39,0
27,4,241846,15,10,4,4,3,4,1,0,0,44,39,1
25,4,98204,15,10,4,14,4,4,1,0,0,41,39,1
68,2,32285,0,6,2,14,0,4,1,0,0,25,39,1
38,4,96464,9,13,4,10,1,4,0,0,0,40,39,1
25,4,190107,9,13,4,10,1,4,1,0,0,36,39,1
44,4,131624,9,13,0,1,4,4,0,0,0,35,39,1
45,4,76485,11,9,2,14,0,4,1,0,0,43,39,1
48,4,116152,11,9,2,7,0,4,1,0,0,40,39,1
45,4,186472,11,9,0,1,4,4,0,0,0,40,39,1
37,4,258839,15,10,4,8,4,2,0,0,0,40,39,1
19,4,246650,15,10,4,12,3,4,0,0,0,40,39,1
29,4,101764,15,10,2,4,0,4,1,0,2000,51,39,0
31,4,182300,11,9,2,8,5,4,0,0,0,27,39,1
51,4,298664,11,9,2,12,0,4,1,0,0,18,28,1
43,4,112847,5,4,2,3,0,1,1,0,0,40,28,1
20,4,189890,2,8,4,8,1,4,1,0,0,40,39,1
